,,Macro,Macro,Macro,Micro,Micro,Micro,
,Model,Precision,Recall,F1,Precision,Recall,F1,Accuracy
0,Main,0.9001095458363986,0.8992392093881271,0.899079488364565,0.8989583333333333,0.8989583333333333,0.8989583333333333,0.8989583333333333
1,Variant 1,0.8043358227880446,0.7964594569224247,0.7925514513234138,0.7942708333333334,0.7942708333333334,0.7942708333333334,0.7942708333333334
2,Variant 2,0.7222998003810666,0.7203965511793409,0.7191342244194245,0.7208333333333333,0.7208333333333333,0.7208333333333333,0.7208333333333333
