Attribute,Group,Accuracy,Precision,Recall,F1
age,young,0.6955017301038062,0.6921336834486358,0.695931201600082,0.6919136780026245
age,old,0.6956521739130435,0.6992784992784993,0.6438463157213157,0.6504762400071324
age,Average,0.6955769520084248,0.6957060913635675,0.6698887586606989,0.6711949590048785
gender,male,0.7102325581395349,0.702838503428038,0.7106076702162808,0.6932849714191019
gender,female,0.676084656084656,0.6807712894340801,0.6779318488529015,0.6806600933839086
gender,Average,0.6931586071120954,0.691804896431059,0.6942697595345911,0.6869725324015052
Average,All,0.6943677795602601,0.6937554938973133,0.682079259097645,0.6790837457031919
